"","region_type","region","year","week","weighted_ili","unweighted_ili","age_0_4","age_25_49","age_25_64","age_5_24","age_50_64","age_65","ilitotal","num_of_providers","total_patients","week_start"
"62","National","National",1998,48,2.04854,1.13908,319,NA,310,453,NA,94,1176,392,103241,1998-11-29
"63","National","National",1998,49,1.93248,1.16023,353,NA,303,461,NA,85,1202,399,103600,1998-12-06
"64","National","National",1998,50,1.90468,1.17127,312,NA,320,426,NA,83,1141,396,97416,1998-12-13
"65","National","National",1998,51,2.55983,1.49061,335,NA,296,359,NA,74,1064,384,71380,1998-12-20
"66","National","National",1998,52,3.99108,1.84288,418,NA,466,377,NA,162,1423,382,77216,1998-12-27
"67","National","National",1999,1,3.08581,1.8239,439,NA,659,548,NA,134,1780,396,97593,1999-01-03
"68","National","National",1999,2,4.16383,2.54354,431,NA,962,874,NA,140,2407,396,94632,1999-01-10
"69","National","National",1999,3,5.58049,3.61581,801,NA,1168,1689,NA,206,3864,399,106864,1999-01-17
"70","National","National",1999,4,5.25328,4.07912,755,NA,1419,2185,NA,186,4545,397,111421,1999-01-24
"71","National","National",1999,5,6.74667,5.0776,970,NA,1562,2919,NA,219,5670,397,111667,1999-01-31
"72","National","National",1999,6,7.57188,5.04884,1029,NA,1591,2911,NA,237,5768,379,114244,1999-02-07
"73","National","National",1999,7,6.87287,4.69331,822,NA,1599,2275,NA,224,4920,376,104830,1999-02-14
"74","National","National",1999,8,6.35098,4.23423,800,NA,1520,1932,NA,234,4486,352,105946,1999-02-21
"75","National","National",1999,9,5.41099,4.02363,769,NA,1357,1543,NA,241,3910,359,97176,1999-02-28
"76","National","National",1999,10,4.55008,2.99348,539,NA,1041,1140,NA,202,2922,351,97612,1999-03-07
"77","National","National",1999,11,3.85915,2.37759,458,NA,704,778,NA,130,2070,339,87063,1999-03-14
"78","National","National",1999,12,2.99601,2.01715,378,NA,548,641,NA,129,1696,321,84079,1999-03-21
"79","National","National",1999,13,1.97814,1.37688,243,NA,382,397,NA,69,1091,313,79237,1999-03-28
"80","National","National",1999,14,1.16887,0.88283,127,NA,202,265,NA,38,632,277,71588,1999-04-04
"81","National","National",1999,15,1.09302,0.613811,102,NA,102,175,NA,17,396,268,64515,1999-04-11
"82","National","National",1999,16,0.633169,0.42177,59,NA,66,133,NA,13,271,258,64253,1999-04-18
"83","National","National",1999,17,0.639561,0.615513,111,NA,118,150,NA,20,399,255,64824,1999-04-25
"84","National","National",1999,18,1.55531,0.302287,35,NA,50,84,NA,11,180,237,59546,1999-05-02
"85","National","National",1999,19,0.80802,0.522623,102,NA,88,86,NA,16,292,227,55872,1999-05-09
"86","National","National",1999,20,1.33997,0.529526,100,NA,68,100,NA,15,283,222,53444,1999-05-16
"87","National","National",1999,21,0,0,0,0,0,0,0,0,0,0,0,1999-05-23
"88","National","National",1999,22,0,0,0,0,0,0,0,0,0,0,0,1999-05-30
"89","National","National",1999,23,0,0,0,0,0,0,0,0,0,0,0,1999-06-06
"90","National","National",1999,24,0,0,0,0,0,0,0,0,0,0,0,1999-06-13
"91","National","National",1999,25,0,0,0,0,0,0,0,0,0,0,0,1999-06-20
"92","National","National",1999,26,0,0,0,0,0,0,0,0,0,0,0,1999-06-27
"93","National","National",1999,27,0,0,0,0,0,0,0,0,0,0,0,1999-07-04
"94","National","National",1999,28,0,0,0,0,0,0,0,0,0,0,0,1999-07-11
"95","National","National",1999,29,0,0,0,0,0,0,0,0,0,0,0,1999-07-18
"96","National","National",1999,30,0,0,0,0,0,0,0,0,0,0,0,1999-07-25
"97","National","National",1999,31,0,0,0,0,0,0,0,0,0,0,0,1999-08-01
"98","National","National",1999,32,0,0,0,0,0,0,0,0,0,0,0,1999-08-08
"99","National","National",1999,33,0,0,0,0,0,0,0,0,0,0,0,1999-08-15
"100","National","National",1999,34,0,0,0,0,0,0,0,0,0,0,0,1999-08-22
"101","National","National",1999,35,0,0,0,0,0,0,0,0,0,0,0,1999-08-29
"102","National","National",1999,36,0,0,0,0,0,0,0,0,0,0,0,1999-09-05
"103","National","National",1999,37,0,0,0,0,0,0,0,0,0,0,0,1999-09-12
"104","National","National",1999,38,0,0,0,0,0,0,0,0,0,0,0,1999-09-19
"105","National","National",1999,39,0,0,0,0,0,0,0,0,0,0,0,1999-09-26
"106","National","National",1999,40,0.831219,0.977255,264,NA,228,273,NA,26,791,316,80941,1999-10-03
"107","National","National",1999,41,1.40445,1.06706,292,NA,297,351,NA,57,997,361,93434,1999-10-10
"108","National","National",1999,42,1.31721,0.942688,346,NA,293,371,NA,57,1067,386,113187,1999-10-17
"109","National","National",1999,43,1.38161,1.01621,371,NA,289,367,NA,62,1089,355,107163,1999-10-24
"110","National","National",1999,44,1.41607,1.19439,438,NA,434,607,NA,91,1570,449,131448,1999-10-31
"111","National","National",1999,45,1.48438,1.24149,473,NA,461,535,NA,101,1570,456,126461,1999-11-07
"112","National","National",1999,46,1.52614,1.28568,443,NA,544,622,NA,92,1701,459,132304,1999-11-14
"113","National","National",1999,47,1.85336,1.69132,483,NA,714,504,NA,132,1833,455,108377,1999-11-21
"114","National","National",1999,48,2.32907,1.73731,518,NA,994,835,NA,137,2484,469,142980,1999-11-28
"115","National","National",1999,49,2.70254,2.33715,643,NA,1316,1124,NA,181,3264,480,139657,1999-12-05
"116","National","National",1999,50,3.50454,2.93022,828,NA,1676,1405,NA,299,4208,475,143607,1999-12-12
"117","National","National",1999,51,5.40799,4.41985,1130,NA,2189,1399,NA,450,5168,472,116927,1999-12-19
"118","National","National",1999,52,7.04228,5.64698,1339,NA,3146,1697,NA,664,6846,471,121233,1999-12-26
"119","National","National",2000,1,6.76846,5.15025,1314,NA,3250,2043,NA,665,7272,482,141197,2000-01-02
"120","National","National",2000,2,5.52808,3.90316,1011,NA,2251,1746,NA,462,5470,467,140143,2000-01-09
"121","National","National",2000,3,3.80508,2.91178,851,NA,1357,1334,NA,315,3857,450,132462,2000-01-16
"122","National","National",2000,4,3.41177,2.1567,722,NA,962,1048,NA,169,2901,433,134511,2000-01-23
"123","National","National",2000,5,2.4,1.81295,633,NA,786,914,NA,145,2478,441,136683,2000-01-30
"124","National","National",2000,6,1.8912,1.6166,599,NA,646,862,NA,116,2223,437,137511,2000-02-06
"125","National","National",2000,7,1.35503,1.26702,539,NA,447,610,NA,72,1668,413,131648,2000-02-13
"126","National","National",2000,8,1.33212,1.14107,452,NA,328,481,NA,64,1325,382,116119,2000-02-20
"127","National","National",2000,9,1.49127,1.23509,499,NA,360,477,NA,49,1385,370,112138,2000-02-27
"128","National","National",2000,10,1.26826,1.01933,381,NA,256,394,NA,57,1088,363,106737,2000-03-05
"129","National","National",2000,11,1.05854,0.926459,342,NA,206,342,NA,44,934,338,100814,2000-03-12
"130","National","National",2000,12,0.92201,0.911006,305,NA,229,346,NA,37,917,326,100658,2000-03-19
